Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Naturligtvis hon talade med Anders.	481	1	112	2	
1		trialprocedure	Hemma satt flickan vid sin bänk.	482	2	234	3	
1		trialprocedure	Hemma hon lekte ensam i köket.	483	1	132	2	
1		trialprocedure	Idag på morgonen han ringde till sin pappa.	484	1	141	4	
1		trialprocedure	Idag grät hon.	485	2	242	3	
1		trialprocedure	Naturligtvis flickan åt Annas kakor.	486	1	114	2	
1		trialprocedure	Idag sprang pojken hem till Maria.	487	2	244	3	
1		trialprocedure	Idag på rasten letade hon efter bollen nere vid sjön.	488	2	241	5	
1		trialprocedure	Naturligtvis pojken lekte.	489	1	114	2	
1		trialprocedure	Kanske läste han tidningen ifred på sitt rum.	490	2	222	3	
1		trialprocedure	Kanske flickan handlade en ny mössa.	491	1	124	2	
1		trialprocedure	Hemma i Lund hon städade hela dagen.	492	1	131	4	
1		trialprocedure	Idag efter rasten pratade flickan med sin fröken.	493	2	243	5	
1		trialprocedure	Hemma pojken skrattade.	494	1	134	2	
1		trialprocedure	Kanske pojken pratade med Maria hemma i köket.	495	1	124	2	
1		trialprocedure	Idag på eftermiddagen sov han i gräset.	496	2	241	5	
1		trialprocedure	Naturligtvis flickan satt och läste tidningen.	497	1	114	2	
1		trialprocedure	Hemma i Malmö joggade han.	498	2	231	5	
1		trialprocedure	Naturligtvis pojken kröp.	499	1	114	2	
1		trialprocedure	Kanske tystnade hon.	500	2	222	3	
1		trialprocedure	Idag flickan tittade på alla de vackra blommorna.	501	1	144	2	
1		trialprocedure	Idag på rasten letade flickan efter bollen nere vid sjön.	502	2	243	5	
1		trialprocedure	Idag han dansade runt.	503	1	142	2	
1		trialprocedure	Hemma i Malmö pojken åt godiset själv.	504	1	133	4	
1		trialprocedure	Idag klättrade hon upp i trädet snabbt.	505	2	242	3	
1		trialprocedure	Idag på eftermiddagen flickan väntade på Anna.	506	1	143	4	
1		trialprocedure	Kanske hon tittade på Saras nya röda klänning.	507	1	122	2	
1		trialprocedure	Hemma i Sverige pojken handlade upp alla pengarna.	508	1	133	4	
1		trialprocedure	Hemma joggade pojken.	509	2	234	3	
1		trialprocedure	Idag pojken vaknade under filten.	510	1	144	2	
1		trialprocedure	Hemma han badade gärna.	511	1	132	2	
1		trialprocedure	Hemma i Sverige hoppade pojken högt.	512	2	233	5	
1		trialprocedure	Idag efter skolan badade hon.	513	2	241	5	
1		trialprocedure	Naturligtvis flickan sparkade bollen till sina vänner.	514	1	114	2	
1		trialprocedure	Idag på morgonen han dansade runt.	515	1	141	4	
1		trialprocedure	Hemma hos Anders flickan tvättade filten.	516	1	133	4	
1		trialprocedure	Idag väntade flickan på Anna.	517	2	244	3	
1		trialprocedure	Kanske jobbade han med läxan där hemma.	518	2	222	3	
1		trialprocedure	Naturligtvis hon svarade Erik.	519	1	112	2	
1		trialprocedure	Hemma hos Maria läste hon en bok för Sara.	520	2	231	5	
1		trialprocedure	Naturligtvis skrattade flickan.	521	2	214	3	
1		trialprocedure	Kanske pojken letade efter Sara som lekte.	522	1	124	2	
1		trialprocedure	Naturligtvis städade flickan hela köket.	523	2	214	3	
1		trialprocedure	Hemma i Sverige han hoppade högt.	524	1	131	4	
1		trialprocedure	Kanske joggade flickan hem.	525	2	224	3	
1		trialprocedure	Kanske hon dansade gärna.	526	1	122	2	
1		trialprocedure	Idag på rasten läste flickan tidningen utomhus.	527	2	243	5	
