Weight	Nested	Procedure	target	prime	condition	conditionDetail	correctResponse
1		ExpProc	wav\lumière.wav	wav\erreur.wav	4	spoA	f
1		ExpProc	wav\palais.wav	wav\ouvrier.wav	2	sPo	f
1		ExpProc	wav\surveiller.wav	wav\considérer.wav	3	spO	f
1		ExpProc	wav\bracelet.wav	wav\équipe.wav	4	spoB	f
1		ExpProc	wav\bague.wav	wav\collier.wav	1	SpoA	j
1		ExpProc	wav\ail.wav	wav\oignon.wav	1	SpoB	j
1		ExpProc	wav\investissement.wav	wav\cheveux.wav	2	sPo	f
1		ExpProc	wav\photo.wav	wav\société.wav	4	spoA	f
1		ExpProc	wav\salaire.wav	wav\poison.wav	4	spoB	f
1		ExpProc	wav\passeport.wav	wav\douane.wav	1	SpoA	j
1		ExpProc	wav\coton.wav	wav\soie.wav	1	SpoB	j
1		ExpProc	wav\peler.wav	wav\exploiter.wav	3	spO	f
1		ExpProc	wav\fidélité.wav	wav\ordinateur.wav	4	spoA	f
1		ExpProc	wav\médecine.wav	wav\vêtement.wav	2	sPo	f
1		ExpProc	wav\ceinture.wav	wav\auteur.wav	4	spoB	f
1		ExpProc	wav\papaye.wav	wav\ananas.wav	1	SpoB	j
1		ExpProc	wav\aubergine.wav	wav\concombre.wav	1	SpoA	j
1		ExpProc	wav\espion.wav	wav\intervalle.wav	3	spO	f
1		ExpProc	wav\château.wav	wav\maison.wav	1	SpoB	j
1		ExpProc	wav\chaussette.wav	wav\examen.wav	4	spoB	f
1		ExpProc	wav\table.wav	wav\voile.wav	4	spoA	f
1		ExpProc	wav\maire.wav	wav\vidéo.wav	2	sPo	f
1		ExpProc	wav\nez.wav	wav\yeux.wav	1	SpoA	j
1		ExpProc	wav\rappel.wav	wav\précaution.wav	3	spO	f
1		ExpProc	wav\yoga.wav	wav\danse.wav	1	SpoA	j
1		ExpProc	wav\farine.wav	wav\politique.wav	4	spoA	f
1		ExpProc	wav\rivière.wav	wav\paix.wav	2	sPo	f
1		ExpProc	wav\action.wav	wav\jargon.wav	3	spO	f
1		ExpProc	wav\croyance.wav	wav\religion.wav	1	SpoB	j
1		ExpProc	wav\voiture.wav	wav\crayon.wav	4	spoB	f
1		ExpProc	wav\lune.wav	wav\étoile.wav	1	SpoB	j
1		ExpProc	wav\occupé.wav	wav\égoïste.wav	4	spoB	f
1		ExpProc	wav\tank.wav	wav\avion.wav	1	SpoA	j
1		ExpProc	wav\attention.wav	wav\célèbre.wav	2	sPo	f
1		ExpProc	wav\époux.wav	wav\forêt.wav	4	spoA	f
1		ExpProc	wav\Pérou.wav	wav\secret.wav	3	spO	f
1		ExpProc	wav\chanson.wav	wav\éponge.wav	4	spoB	f
1		ExpProc	wav\éplucher.wav	wav\affaiblir.wav	3	spO	f
1		ExpProc	wav\coco.wav	wav\litchi.wav	1	SpoB	j
1		ExpProc	wav\blessure.wav	wav\commerçant.wav	2	sPo	f
1		ExpProc	wav\tuyau.wav	wav\cygne.wav	4	spoA	f
1		ExpProc	wav\richesse.wav	wav\argent.wav	1	SpoA	j
1		ExpProc	wav\aéroport.wav	wav\confiture.wav	4	spoB	f
1		ExpProc	wav\inondation.wav	wav\rouge.wav	2	sPo	f
1		ExpProc	wav\noix.wav	wav\amande.wav	1	SpoA	j
1		ExpProc	wav\séisme.wav	wav\publicité.wav	4	spoA	f
1		ExpProc	wav\espace.wav	wav\air.wav	3	spO	f
1		ExpProc	wav\étude.wav	wav\travail.wav	1	SpoB	j
1		ExpProc	wav\papillon.wav	wav\objectif.wav	4	spoB	f
1		ExpProc	wav\mangue.wav	wav\fraise.wav	1	SpoB	j
1		ExpProc	wav\promenade.wav	wav\vrac.wav	3	spO	f
1		ExpProc	wav\pastèque.wav	wav\biologie.wav	4	spoA	f
1		ExpProc	wav\chaise.wav	wav\canapé.wav	1	SpoA	j
1		ExpProc	wav\raisin.wav	wav\servant.wav	2	sPo	f
1		ExpProc	wav\présentation.wav	wav\conférence.wav	1	SpoB	j
1		ExpProc	wav\commentaire.wav	wav\paysan.wav	4	spoA	f
1		ExpProc	wav\clinique.wav	wav\hôpital.wav	1	SpoA	j
1		ExpProc	wav\réfugié.wav	wav\inévitabilité.wav	3	spO	f
1		ExpProc	wav\égalité.wav	wav\biscuit.wav	4	spoB	f
1		ExpProc	wav\tante.wav	wav\solitude.wav	2	sPo	f
