Weight	Nested	Procedure	target	prime	condition	conditionDetail	correctResponse
1		ExpProc	vacances	contrefaçon	3	spO	f
1		ExpProc	investissement	cheveux	2	sPo	f
1		ExpProc	aubergine	concombre	1	SpoA	j
1		ExpProc	client	match	4	spoA	f
1		ExpProc	rat	entreprise	4	spoB	f
1		ExpProc	campagne	ville	1	SpoB	j
1		ExpProc	surveiller	considérer	3	spO	f
1		ExpProc	gant	foulard	1	SpoA	j
1		ExpProc	inondation	rouge	2	sPo	f
1		ExpProc	train	métro	1	SpoB	j
1		ExpProc	lumière	erreur	4	spoA	f
1		ExpProc	pyjama	recherche	4	spoB	f
1		ExpProc	opéra	film	1	SpoA	j
1		ExpProc	promesse	liquide	4	spoB	f
1		ExpProc	fidélité	ordinateur	4	spoA	f
1		ExpProc	lait	jus	1	SpoB	j
1		ExpProc	surprise	expérience	2	sPo	f
1		ExpProc	promenade	vrac	3	spO	f
1		ExpProc	criminel	maïs	4	spoB	f
1		ExpProc	palais	ouvrier	2	sPo	f
1		ExpProc	espace	air	3	spO	f
1		ExpProc	lion	tigre	1	SpoB	j
1		ExpProc	yoga	danse	1	SpoA	j
1		ExpProc	signature	cuisine	4	spoA	f
1		ExpProc	pêche	banane	1	SpoB	j
1		ExpProc	ressort	lance-pierre	3	spO	f
1		ExpProc	loyer	miel	4	spoA	f
1		ExpProc	grippe	boîte	4	spoB	f
1		ExpProc	premier	endroit	2	sPo	f
1		ExpProc	fourmi	araignée	1	SpoA	j
1		ExpProc	lune	étoile	1	SpoB	j
1		ExpProc	renard	barbe	2	sPo	f
1		ExpProc	égalité	biscuit	4	spoB	f
1		ExpProc	parapluie	enquête	4	spoA	f
1		ExpProc	appliquer	devoir	3	spO	f
1		ExpProc	clinique	hôpital	1	SpoA	j
1		ExpProc	restaurant	bar	1	SpoB	j
1		ExpProc	police	voleur	1	SpoA	j
1		ExpProc	photo	société	4	spoA	f
1		ExpProc	journaliste	saison	2	sPo	f
1		ExpProc	intérêt	excitation	3	spO	f
1		ExpProc	aéroport	confiture	4	spoB	f
1		ExpProc	éléphant	chameau	1	SpoA	j
1		ExpProc	chaussette 	alerte	4	spoB	f
1		ExpProc	lèvre	parc	4	spoA	f
1		ExpProc	espion	intervalle	3	spO	f
1		ExpProc	papaye	ananas	1	SpoB	j
1		ExpProc	blessure	commerçant	2	sPo	f
1		ExpProc	frigo	télévision	1	SpoA	j
1		ExpProc	prière	représentant	4	spoB	f
1		ExpProc	table	voile	4	spoA	f
1		ExpProc	réfugié	inévitabilité	3	spO	f
1		ExpProc	journal	violence	2	sPo	f
1		ExpProc	étudiant	professeur	1	SpoB	j
1		ExpProc	tradition	biographie	3	spO	f
1		ExpProc	moustique	article	2	sPo	f
1		ExpProc	champignon	patron	4	spoB	f
1		ExpProc	manteau	pantalon	1	SpoA	j
1		ExpProc	étude	travail	1	SpoB	j
1		ExpProc	dinosaure	comédie	4	spoA	f
