fileID	trigTimes	family	condition	question 	qFile1	qFile2	repCorr
C101	1.836	01	1	X	1-boisson	1-transport	1-boisson
C102	1.902	02	1				
C103	4.805	03	1	X	3-sport	3-couture	3-sport
C105	10.611	05	1				
C106	3.841	06	1	X	6-vetement	6-saison	6-saison
C108	5.005	08	1				
C109	3.104	09	1	X	9-voyage	9-animaux	9-animaux
C110	2.136	10	1	X	10-ordinateur	10-conte	10-conte
C111	3.471	11	1	X	11-mer	11-dieu	11-mer
C112	3.337	12	1				
C113	3.204	13	1	X	13-insectes	13-tableau	13-insectes
C114	4.705	14	1				
C115	3.070	15	1				
C116	2.970	16	1	X	16-internet	16-famille	16-famille
C117	3.804	17	1	X	17-transport	17-sandwich	
C118	3.671	18	1				
C119	2.002	19	1				
C120	5.339	20	1				
C121	4.238	21	1	X	21-geographie	21-chimie	21-geographie
C122	4.538	22	1	X	22-travail	22-nourriture	22-nourriture
C124	4.805	24	1				
C125	2.570	25	1				
C126	2.770	26	1				
C127	5.973	27	1				
C128	4.305	28	1	X	28-syndicat	28-reine	28-reine
C130	5.406	30	1				
C131	3.637	31	1	X	31-cours	31-oeuf	31-cours
C133	3.170	33	1				
C134	1.669	34	1				
C135	2.536	35	1				
C136	2.303	36	1				
C137	3.671	37	1				
C138	9.810	38	1				
C139	2.903	39	1				
C140	3.371	40	1				
C141	3.771	41	1				
C142	3.337	42	1				
C143	3.504	43	1				
C144	3.237	44	1				
C145	2.770	45	1				
C146	3.437	46	1				
C147	3.838	47	1				
C148	4.538	48	1				
C149	5.172	49	1	X	49-telephone	49-riz	49-riz
C150	4.438	50	1				
C151	2.669	51	1				
C152	4.772	52	1				
C153	3.871	53	1				
C154	7.408	54	1				
C155	4.305	55	1				
C156	3.904	56	1	X	56-gouter	56-pharmacie	56-gouter
C157	6.173	57	1				
C158	4.071	58	1				
C159	2.269	59	1				
C160	2.870	60	1				
C201	2.403	01	2				
C202	1.402	02	2				
C204	4.538	04	2				
C205	8.075	05	2				
C206	3.404	06	2				
C208	4.672	08	2				
C209	2.703	09	2				
C210	1.969	10	2				
C212	2.803	12	2				
C214	4.705	14	2				
C216	2.937	16	2				
C217	3.170	17	2				
C218	2.570	18	2				
C219	1.335	19	2				
C220	5.072	20	2				
C221	3.838	21	2				
C222	4.305	22	2				
C223	2.269	23	2				
C224	5.172	24	2				
C225	2.837	25	2				
C226	2.603	26	2				
C227	6.006	27	2				
C228	3.604	28	2				
C229	2.370	29	2				
C230	4.605	30	2				
C231	3.003	31	2				
C232	0.968	32	2				
C233	4.071	33	2				
C234	1.302	34	2				
C235	2.236	35	2				
C236	3.003	36	2				
C237	3.204	37	2				
C238	10.378	38	2				
C239	2.570	39	2				
C240	2.870	40	2				
