fileID	trigTimes	family	condition	question 	qFile	repCorr	condID
1 C1	6.017	1 	1	X	Q1film	j	C1X
1 C2	6.190	1 	2			j	C2
1 C3	4.982	1 	3			j	C3
2 C1	7.408	2 	1			j	C1
2 C2	7.428	2 	2			j	C2
2 C3	6.833	2 	3			j	C3
3 C1	9.286	3 	1			j	C1
3 C2	9.835	3 	2			j	C2
4 C1	8.188	4 	1			j	C1
4 C2	7.657	4 	2			j	C2
4 C3	7.936	4 	3	X	Q114sciences	j	C3X
5 C1	6.699	5 	1			j	C1
5 C2	7.314	5 	2			j	C2
5 C3	6.681	5 	3			j	C3
6 C1	6.364	6 	1			j	C1
6 C2	5.622	6 	2			j	C2
6 C3	6.980	6 	3			j	C3
7 C1	11.158	7 	1			j	C1
7 C2	9.172	7 	2			j	C2
7 C3	8.844	7 	3			j	C3
8 C1	12.881	8 	1			j	C1
8 C2	10.730	8 	2			j	C2
8 C3	9.937	8 	3			j	C3
9 C1	9.759	9 	1			j	C1
9 C2	10.095	9 	2			j	C2
9 C3	8.903	9 	3			j	C3
10 C1	8.726	10 	1			j	C1
10 C3	8.079	10 	3			j	C3
11 C1	8.445	11 	1			j	C1
11 C2	8.661	11 	2			j	C2
11 C3	8.629	11 	3	X	Q141repos	j	C3X
12 C1	8.944	12 	1			j	C1
12 C2	7.777	12 	2			j	C2
12 C3	8.295	12 	3			j	C3
13 C1	13.681	13 	1			j	C1
13 C2	10.868	13 	2	X	Q13froid	j	C2X
13 C3	9.738	13 	3			j	C3
14 C1	8.269	14 	1			j	C1
14 C2	7.975	14 	2	X	Q14noel	j	C2X
14 C3	8.802	14 	3			j	C3
15 C1	6.690	15 	1			j	C1
15 C2	6.274	15 	2			j	C2
15 C3	5.783	15 	3			j	C3
16 C1	7.784	16 	1	X	Q66propre	j	C1X
16 C2	6.835	16 	2			j	C2
16 C3	7.415	16 	3			j	C3
17 C1	8.418	17 	1			j	C1
17 C2	7.339	17 	2			j	C2
17 C3	8.617	17 	3	X	Q147intelligent	j	C3X
18 C1	8.463	18 	1			j	C1
18 C2	6.314	18 	2			j	C2
18 C3	7.339	18 	3			j	C3
19 C1	4.294	19 	1			j	C1
19 C2	4.856	19 	2			j	C2
19 C3	5.906	19 	3			j	C3
20 C1	6.344	20 	1	X	Q70enerve	j	C1X
20 C2	6.355	20 	2			j	C2
20 C3	4.847	20 	3			j	C3
21 C1	6.473	21 	1			j	C1
21 C2	6.503	21 	2			j	C2
21 C3	5.951	21 	3			j	C3
22 C1	7.930	22 	1			j	C1
22 C2	8.833	22 	2			j	C2
22 C3	8.365	22 	3			j	C3
23 C1	8.169	23 	1			j	C1
23 C2	7.746	23 	2			j	C2
23 C3	6.293	23 	3			j	C3
24 C1	5.368	24 	1			j	C1
24 C2	5.540	24 	2			j	C2
24 C3	5.976	24 	3			j	C3
25 C1	8.987	25 	1			j	C1
25 C3	8.651	25 	3			j	C3
26 C1	6.817	26 	1			j	C1
26 C2	6.011	26 	2			j	C2
26 C3	6.109	26 	3	X	Q26fenetre	j	C3X
27 C1	11.129	27 	1			j	C1
27 C2	10.195	27 	2	X	Q77court	j	C2X
27 C3	10.485	27 	3			j	C3
28 C1	7.007	28 	1	X	Q98ministre	j	C1X
28 C2	5.935	28 	2			j	C2
28 C3	6.261	28 	3			j	C3
29 C1	8.243	29 	1			j	C1
29 C2	8.790	29 	2			j	C2
29 C3	7.903	29 	3			j	C3
30 C1	7.402	30 	1			j	C1
30 C2	5.442	30 	2			j	C2
30 C3	5.955	30 	3			j	C3
31 C2	4.715	31 	2	X	Q161peur	j	C2X
31 C3	5.388	31 	3			j	C3
32 C1	6.169	32 	1			j	C1
32 C2	4.969	32 	2			j	C2
32 C3	6.068	32 	3	X	Q82adapte	j	C3X
33 C1	5.576	33 	1			j	C1
33 C2	6.672	33 	2			j	C2
33 C3	5.624	33 	3			j	C3
34 C1	9.507	34 	1			j	C1
34 C2	9.599	34 	2			j	C2
34 C3	10.671	34 	3			j	C3
35 C1	7.767	35 	1			j	C1
35 C2	8.236	35 	2			j	C2
35 C3	6.811	35 	3			j	C3
36 C1	7.124	36 	1			j	C1
36 C2	7.402	36 	2			j	C2
36 C3	6.148	36 	3			j	C3
37 C1	8.272	37 	1			j	C1
37 C2	8.737	37 	2			j	C2
37 C3	8.729	37 	3			j	C3
38 C1	8.600	38 	1			j	C1
38 C2	8.262	38 	2			j	C2
38 C3	7.047	38 	3			j	C3
39 C1	7.661	39 	1	X	Q39ilya	j	C1X
39 C2	7.428	39 	2			j	C2
39 C3	6.663	39 	3			j	C3
40 C1	5.793	40 	1			j	C1
40 C2	5.310	40 	2	X	Q170poubelle	j	C2X
40 C3	4.760	40 	3			j	C3
41 C1	8.538	41 	1			j	C1
41 C2	8.996	41 	2			j	C2
41 C3	8.501	41 	3			j	C3
42 C1	7.205	42 	1			j	C1
42 C2	6.917	42 	2			j	C2
42 C3	7.132	42 	3			j	C3
43 C1	6.720	43 	1			j	C1
43 C2	6.227	43 	2			j	C2
43 C3	6.328	43 	3			j	C3
44 C1	7.014	44 	1			j	C1
44 C2	5.806	44 	2			j	C2
44 C3	5.582	44 	3			j	C3
45 C1	8.228	45 	1	X	Q125gratuit	j	C1X
45 C2	8.291	45 	2			j	C2
45 C3	8.315	45 	3			j	C3
46 C1	5.248	46 	1			j	C1
46 C2	6.498	46 	2			j	C2
46 C3	5.106	46 	3			j	C3
47 C1	6.862	47 	1	X	Q127europe	j	C1X
47 C2	7.632	47 	2	X	Q47est	j	C2X
47 C3	8.635	47 	3			j	C3
48 C1	6.049	48 	1			j	C1
48 C2	4.904	48 	2			j	C2
48 C3	4.683	48 	3	X	Q178vieux	j	C3X
49 C1	5.222	49 	1			j	C1
49 C2	4.881	49 	2			j	C2
49 C3	6.419	49 	3			j	C3
50 C1	3.776	50 	1			j	C1
50 C2	4.261	50 	2			j	C2
50 C3	4.235	50 	3			j	C3
51 C1	11.387	51 	1			j	C1
51 C2	9.513	51 	2			j	C2
51 C3	8.797	51 	3	X	Q51touriste	j	C3X
52 C1	8.905	52 	1			j	C1
52 C2	8.138	52 	2			j	C2
52 C3	7.334	52 	3	X	Q52tour	j	C3X
53 C1	5.546	53 	1	X	Q153oeuf	j	C1X
53 C2	5.271	53 	2	X	Q103bleu	j	C2X
53 C3	5.411	53 	3			j	C3
54 C1	3.586	54 	1			j	C1
54 C2	4.281	54 	2			j	C2
54 C3	4.756	54 	3			j	C3
55 C1	4.885	55 	1			j	C1
55 C2	5.950	55 	2	X	Q105professeur	j	C2X
55 C3	7.161	55 	3			j	C3
56 C1	8.068	56 	1			j	C1
56 C2	7.641	56 	2			j	C2
56 C3	7.903	56 	3			j	C3
57 C1	4.529	57 	1			j	C1
57 C2	3.979	57 	2			j	C2
57 C3	3.907	57 	3			j	C3
58 C1	4.033	58 	1			j	C1
58 C2	5.088	58 	2			j	C2
58 C3	3.668	58 	3			j	C3
59 C1	4.708	59 	1			j	C1
59 C2	5.259	59 	2			j	C2
59 C3	4.844	59 	3			j	C3
60 C1	6.833	60 	1			j	C1
60 C2	7.439	60 	2			j	C2
60 C3	7.494	60 	3			j	C3
