fileID	trigTimes	condition	question 	qFile	condID
1 C1	6.017	1	X	Q1film	C1X
1 C2	6.190	2			C2
1 C3	4.982	3			C3
2 C1	7.408	1			C1
2 C2	7.428	2			C2
2 C3	6.833	3			C3
3 C1	9.286	1			C1
3 C2	9.835	2			C2
4 C1	8.188	1			C1
4 C2	7.657	2			C2
4 C3	7.936	3	X	Q114sciences	C3X
5 C1	6.699	1			C1
5 C2	7.314	2			C2
5 C3	6.681	3			C3
6 C1	6.364	1			C1
6 C2	5.622	2			C2
6 C3	6.980	3			C3
7 C1	11.158	1			C1
7 C2	9.172	2			C2
7 C3	8.844	3			C3
8 C1	12.881	1			C1
8 C2	10.730	2			C2
8 C3	9.937	3			C3
9 C1	9.759	1			C1
9 C2	10.095	2			C2
9 C3	8.903	3			C3
10 C1	8.726	1			C1
10 C3	8.079	3			C3
11 C1	8.445	1			C1
11 C2	8.661	2			C2
11 C3	8.629	3	X	Q141repos	C3X
12 C1	8.944	1			C1
12 C2	7.777	2			C2
12 C3	8.295	3			C3
13 C1	13.681	1			C1
13 C2	10.868	2	X	Q13froid	C2X
13 C3	9.738	3			C3
14 C1	8.269	1			C1
14 C2	7.975	2	X	Q14noel	C2X
14 C3	8.802	3			C3
15 C1	6.690	1			C1
15 C2	6.274	2			C2
15 C3	5.783	3			C3
16 C1	7.784	1	X	Q66propre	C1X
16 C2	6.835	2			C2
16 C3	7.415	3			C3
17 C1	8.418	1			C1
17 C2	7.339	2			C2
17 C3	8.617	3	X	Q147intelligent	C3X
18 C1	8.463	1			C1
18 C2	6.314	2			C2
18 C3	7.339	3			C3
19 C1	4.294	1			C1
19 C2	4.856	2			C2
19 C3	5.906	3			C3
20 C1	6.344	1	X	Q70enerve	C1X
20 C2	6.355	2			C2
20 C3	4.847	3			C3
21 C1	6.473	1			C1
21 C2	6.503	2			C2
21 C3	5.951	3			C3
22 C1	7.930	1			C1
22 C2	8.833	2			C2
22 C3	8.365	3			C3
23 C1	8.169	1			C1
23 C2	7.746	2			C2
23 C3	6.293	3			C3
24 C1	5.368	1			C1
24 C2	5.540	2			C2
24 C3	5.976	3			C3
25 C1	8.987	1			C1
25 C3	8.651	3			C3
26 C1	6.817	1			C1
26 C2	6.011	2			C2
26 C3	6.109	3	X	Q26fenetre	C3X
27 C1	11.129	1			C1
27 C2	10.195	2	X	Q77court	C2X
27 C3	10.485	3			C3
28 C1	7.007	1	X	Q98ministre	C1X
28 C2	5.935	2			C2
28 C3	6.261	3			C3
29 C1	8.243	1			C1
29 C2	8.790	2			C2
29 C3	7.903	3			C3
30 C1	7.402	1			C1
30 C2	5.442	2			C2
30 C3	5.955	3			C3
31 C2	4.715	2	X	Q161peur	C2X
31 C3	5.388	3			C3
32 C1	6.169	1			C1
32 C2	4.969	2			C2
32 C3	6.068	3	X	Q82adapte	C3X
33 C1	5.576	1			C1
33 C2	6.672	2			C2
33 C3	5.624	3			C3
34 C1	9.507	1			C1
34 C2	9.599	2			C2
34 C3	10.671	3			C3
35 C1	7.767	1			C1
35 C2	8.236	2			C2
35 C3	6.811	3			C3
36 C1	7.124	1			C1
36 C2	7.402	2			C2
36 C3	6.148	3			C3
37 C1	8.272	1			C1
37 C2	8.737	2			C2
37 C3	8.729	3			C3
38 C1	8.600	1			C1
38 C2	8.262	2			C2
38 C3	7.047	3			C3
39 C1	7.661	1	X	Q39ilya	C1X
39 C2	7.428	2			C2
39 C3	6.663	3			C3
40 C1	5.793	1			C1
40 C2	5.310	2	X	Q170poubelle	C2X
40 C3	4.760	3			C3
41 C1	8.538	1			C1
41 C2	8.996	2			C2
41 C3	8.501	3			C3
42 C1	7.205	1			C1
42 C2	6.917	2			C2
42 C3	7.132	3			C3
43 C1	6.720	1			C1
43 C2	6.227	2			C2
43 C3	6.328	3			C3
44 C1	7.014	1			C1
44 C2	5.806	2			C2
44 C3	5.582	3			C3
45 C1	8.228	1	X	Q125gratuit	C1X
45 C2	8.291	2			C2
45 C3	8.315	3			C3
46 C1	5.248	1			C1
46 C2	6.498	2			C2
46 C3	5.106	3			C3
47 C1	6.862	1	X	Q127europe	C1X
47 C2	7.632	2	X	Q47est	C2X
47 C3	8.635	3			C3
48 C1	6.049	1			C1
48 C2	4.904	2			C2
48 C3	4.683	3	X	Q178vieux	C3X
49 C1	5.222	1			C1
49 C2	4.881	2			C2
49 C3	6.419	3			C3
50 C1	3.776	1			C1
50 C2	4.261	2			C2
50 C3	4.235	3			C3
51 C1	11.387	1			C1
51 C2	9.513	2			C2
51 C3	8.797	3	X	Q51touriste	C3X
52 C1	8.905	1			C1
52 C2	8.138	2			C2
52 C3	7.334	3	X	Q52tour	C3X
53 C1	5.546	1	X	Q153oeuf	C1X
53 C2	5.271	2	X	Q103bleu	C2X
53 C3	5.411	3			C3
54 C1	3.586	1			C1
54 C2	4.281	2			C2
54 C3	4.756	3			C3
55 C1	4.885	1			C1
55 C2	5.950	2	X	Q105professeur	C2X
55 C3	7.161	3			C3
56 C1	8.068	1			C1
56 C2	7.641	2			C2
56 C3	7.903	3			C3
57 C1	4.529	1			C1
57 C2	3.979	2			C2
57 C3	3.907	3			C3
58 C1	4.033	1			C1
58 C2	5.088	2			C2
58 C3	3.668	3			C3
59 C1	4.708	1			C1
59 C2	5.259	2			C2
59 C3	4.844	3			C3
60 C1	6.833	1			C1
60 C2	7.439	2			C2
60 C3	7.494	3			C3
